"filename", "language", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\19513\Documents\GitHub\shoppingaround2\my-react-app\src\App.css", "CSS", 421, 0, 4, 3, 428
"c:\Users\19513\Documents\GitHub\shoppingaround2\my-react-app\src\App.js", "JavaScript", 0, 28, 0, 2, 30
"c:\Users\19513\Documents\GitHub\shoppingaround2\my-react-app\src\components\Loginbutton.js", "JavaScript", 0, 28, 0, 7, 35
"c:\Users\19513\Documents\GitHub\shoppingaround2\my-react-app\src\components\Logoutbutton.js", "JavaScript", 0, 17, 0, 4, 21
"c:\Users\19513\Documents\GitHub\shoppingaround2\my-react-app\src\components\Map.js", "JavaScript", 0, 26, 1, 4, 31
"c:\Users\19513\Documents\GitHub\shoppingaround2\my-react-app\src\components\Navbar.js", "JavaScript", 0, 26, 0, 1, 27
"c:\Users\19513\Documents\GitHub\shoppingaround2\my-react-app\src\components\Searchbar.js", "JavaScript", 0, 19, 0, 5, 24
"c:\Users\19513\Documents\GitHub\shoppingaround2\my-react-app\src\components\pages\addastore.js", "JavaScript", 0, 3, 0, 0, 3
"c:\Users\19513\Documents\GitHub\shoppingaround2\my-react-app\src\components\pages\chat.js", "JavaScript", 0, 96, 0, 8, 104
"c:\Users\19513\Documents\GitHub\shoppingaround2\my-react-app\src\components\pages\home.js", "JavaScript", 0, 19, 0, 5, 24
"c:\Users\19513\Documents\GitHub\shoppingaround2\my-react-app\src\components\pages\lists.js", "JavaScript", 0, 3, 0, 0, 3
"c:\Users\19513\Documents\GitHub\shoppingaround2\my-react-app\src\components\pages\signin.js", "JavaScript", 0, 39, 0, 4, 43
"c:\Users\19513\Documents\GitHub\shoppingaround2\my-react-app\src\googledatebase\config.js", "JavaScript", 0, 17, 1, 3, 21
"c:\Users\19513\Documents\GitHub\shoppingaround2\my-react-app\src\index.js", "JavaScript", 0, 13, 0, 3, 16
"c:\Users\19513\Documents\GitHub\shoppingaround2\my-react-app\src\styles.css", "CSS", 151, 0, 0, 22, 173
"Total", "-", 572, 334, 6, 71, 983
